Date,Open,High,Low,Close,Adj Close,Volume
1992-04-03,0.552083,0.565972,0.545139,0.555556,0.426024,36259200
1992-04-06,0.565972,0.583333,0.562500,0.572917,0.439338,42660000
1992-04-07,0.576389,0.579861,0.527778,0.531250,0.407386,90756000
1992-04-08,0.527778,0.538194,0.486111,0.531250,0.407386,141242400
1992-04-09,0.534722,0.565972,0.520833,0.553819,0.424693,114775200
1992-04-10,0.559028,0.569444,0.517361,0.520833,0.399398,96076800
1992-04-13,0.520833,0.538194,0.517361,0.527778,0.404723,49010400
1992-04-14,0.534722,0.565972,0.527778,0.552083,0.423362,64663200
1992-04-15,0.555556,0.565972,0.548611,0.552083,0.423362,51566400
1992-04-16,0.548611,0.555556,0.531250,0.536458,0.411380,64353600
1992-04-20,0.531250,0.531250,0.503472,0.517361,0.396735,62920800
1992-04-21,0.513889,0.517361,0.496528,0.503472,0.386085,57009600
1992-04-22,0.506944,0.527778,0.500000,0.517361,0.396735,77464800
1992-04-23,0.520833,0.524306,0.500000,0.505208,0.387416,78055200
1992-04-24,0.506944,0.506944,0.493056,0.506944,0.388747,52934400
1992-04-27,0.500000,0.517361,0.493056,0.493056,0.378097,58831200
1992-04-28,0.472222,0.496528,0.458333,0.473958,0.363452,128721600
1992-04-29,0.472222,0.493056,0.472222,0.493056,0.378097,85183200
1992-04-30,0.496528,0.524306,0.489583,0.506944,0.388747,75031200
1992-05-01,0.510417,0.520833,0.506944,0.512153,0.392741,62236800
1992-05-04,0.520833,0.541667,0.513889,0.524306,0.402060,40219200
1992-05-05,0.527778,0.552083,0.524306,0.539931,0.414042,55900800
1992-05-06,0.545139,0.548611,0.538194,0.539931,0.414042,44424000
1992-05-07,0.545139,0.548611,0.524306,0.531250,0.407386,42098400
1992-05-08,0.534722,0.545139,0.524306,0.538194,0.412711,56138400
1992-05-11,0.548611,0.562500,0.541667,0.550347,0.422031,53841600
1992-05-12,0.555556,0.555556,0.534722,0.545139,0.418037,103795200
1992-05-13,0.545139,0.545139,0.524306,0.531250,0.407386,84384000
1992-05-14,0.552083,0.562500,0.541667,0.559028,0.428687,284904000
1992-05-15,0.552083,0.572917,0.548611,0.567708,0.435344,118036800
1992-05-18,0.569444,0.586806,0.569444,0.579861,0.444663,72410400
1992-05-19,0.576389,0.590278,0.569444,0.583333,0.447326,49881600
1992-05-20,0.586806,0.586806,0.576389,0.586806,0.449988,67104000
1992-05-21,0.586806,0.586806,0.569444,0.576389,0.442000,74700000
1992-05-22,0.572917,0.579861,0.572917,0.572917,0.439338,31327200
1992-05-26,0.576389,0.576389,0.555556,0.569444,0.436675,52048800
1992-05-27,0.569444,0.576389,0.565972,0.569444,0.436675,47080800
1992-05-28,0.572917,0.593750,0.569444,0.590278,0.452651,83044800
1992-05-29,0.583333,0.635417,0.583333,0.635417,0.487265,158443200
1992-06-01,0.628472,0.673611,0.621528,0.673611,0.516555,133718400
1992-06-02,0.673611,0.673611,0.652778,0.656250,0.503241,71604000
1992-06-03,0.659722,0.659722,0.642361,0.649306,0.497916,52732800
1992-06-04,0.642361,0.659722,0.638889,0.652778,0.500579,57535200
1992-06-05,0.666667,0.666667,0.637153,0.642361,0.492591,43884000
1992-06-08,0.638889,0.649306,0.638889,0.645833,0.495253,39254400
1992-06-09,0.649306,0.649306,0.631944,0.638889,0.489928,73648800
1992-06-10,0.635417,0.645833,0.635417,0.635417,0.487265,74541600
1992-06-11,0.635417,0.649306,0.618056,0.642361,0.492591,97912800
1992-06-12,0.638889,0.663194,0.638889,0.652778,0.500579,37742400
1992-06-15,0.649306,0.659722,0.645833,0.654514,0.501910,35964000
1992-06-16,0.652778,0.659722,0.638889,0.640625,0.491259,59724000
1992-06-17,0.638889,0.642361,0.607639,0.614583,0.471289,120312000
1992-06-18,0.611111,0.618056,0.597222,0.597222,0.457976,93780000
1992-06-19,0.607639,0.621528,0.597222,0.611111,0.468627,65080800
1992-06-22,0.611111,0.614583,0.593750,0.607639,0.465964,53719200
1992-06-23,0.618056,0.642361,0.614583,0.631944,0.484603,74628000
1992-06-24,0.631944,0.645833,0.628472,0.637153,0.488597,57009600
1992-06-25,0.649306,0.656250,0.618056,0.626736,0.480609,81914400
1992-06-26,0.625000,0.633681,0.614583,0.623264,0.477946,39988800
1992-06-29,0.621528,0.656250,0.621528,0.656250,0.503241,60984000
1992-06-30,0.656250,0.657986,0.642361,0.652778,0.500579,67824000
1992-07-01,0.652778,0.680556,0.642361,0.677083,0.519217,91735200
1992-07-02,0.680556,0.684028,0.656250,0.663194,0.508567,103564800
1992-07-06,0.659722,0.673611,0.652778,0.673611,0.516555,36648000
1992-07-07,0.673611,0.673611,0.631944,0.633681,0.485934,115768800
